# Provenance: Unicode 17.0.0 DerivedGeneralCategory.txt
# Source: https://www.unicode.org/Public/17.0.0/ucd/extracted/DerivedGeneralCategory.txt
# SHA-256: d62e5bab70ca74f099343f71224fa051cb1fdd61a1ab45c0488c44cfc0b6102e
# Records: 327 pairs (654 elements)
000300 00036F
00302A 00302F
003099 00309A
00A66F 00A672
00A674 00A67D
00A69E 00A69F
00A6F0 00A6F1
00A802 00A802
00A806 00A806
00A80B 00A80B
00A823 00A827
00A82C 00A82C
00A880 00A881
00A8B4 00A8C5
00A8E0 00A8F1
00A8FF 00A8FF
00A926 00A92D
00A947 00A953
00A980 00A983
00A9B3 00A9C0
00A9E5 00A9E5
00AA29 00AA36
00AA43 00AA43
00AA4C 00AA4D
00AA7B 00AA7D
00AAB0 00AAB0
00AAB2 00AAB4
00AAB7 00AAB8
00AABE 00AABF
00AAC1 00AAC1
00AAEB 00AAEF
00AAF5 00AAF6
00ABE3 00ABEA
00ABEC 00ABED
00FB1E 00FB1E
00FE00 00FE0F
00FE20 00FE2F
0101FD 0101FD
0102E0 0102E0
010376 01037A
010A01 010A03
010A05 010A06
010A0C 010A0F
010A38 010A3A
010A3F 010A3F
010AE5 010AE6
010D24 010D27
010D69 010D6D
010EAB 010EAC
010EFA 010EFF
010F46 010F50
010F82 010F85
011000 011002
011038 011046
011070 011070
011073 011074
01107F 011082
0110B0 0110BA
0110C2 0110C2
011100 011102
011127 011134
011145 011146
011173 011173
011180 011182
0111B3 0111C0
0111C9 0111CC
0111CE 0111CF
01122C 011237
01123E 01123E
011241 011241
0112DF 0112EA
011300 011303
01133B 01133C
01133E 011344
011347 011348
01134B 01134D
011357 011357
011362 011363
011366 01136C
011370 011374
0113B8 0113C0
0113C2 0113C2
0113C5 0113C5
0113C7 0113CA
0113CC 0113D0
0113D2 0113D2
0113E1 0113E2
011435 011446
01145E 01145E
0114B0 0114C3
0115AF 0115B5
0115B8 0115C0
0115DC 0115DD
011630 011640
0116AB 0116B7
01171D 01172B
01182C 01183A
011930 011935
011937 011938
01193B 01193E
011940 011940
011942 011943
0119D1 0119D7
0119DA 0119E0
0119E4 0119E4
011A01 011A0A
011A33 011A39
011A3B 011A3E
011A47 011A47
011A51 011A5B
011A8A 011A99
011B60 011B67
011C2F 011C36
011C38 011C3F
011C92 011CA7
011CA9 011CB6
011D31 011D36
011D3A 011D3A
011D3C 011D3D
011D3F 011D45
011D47 011D47
011D8A 011D8E
011D90 011D91
011D93 011D97
011EF3 011EF6
011F00 011F01
011F03 011F03
011F34 011F3A
011F3E 011F42
011F5A 011F5A
013440 013440
013447 013455
01611E 01612F
016AF0 016AF4
016B30 016B36
016F4F 016F4F
016F51 016F87
016F8F 016F92
016FE4 016FE4
016FF0 016FF1
01BC9D 01BC9E
01CF00 01CF2D
01CF30 01CF46
01D165 01D169
01D16D 01D172
01D17B 01D182
01D185 01D18B
01D1AA 01D1AD
01D242 01D244
01DA00 01DA36
01DA3B 01DA6C
01DA75 01DA75
01DA84 01DA84
01DA9B 01DA9F
01DAA1 01DAAF
01E000 01E006
01E008 01E018
01E01B 01E021
01E023 01E024
01E026 01E02A
01E08F 01E08F
01E130 01E136
01E2AE 01E2AE
01E2EC 01E2EF
01E4EC 01E4EF
01E5EE 01E5EF
01E6E3 01E6E3
01E6E6 01E6E6
01E6EE 01E6EF
01E6F5 01E6F5
01E8D0 01E8D6
01E944 01E94A
0E0100 0E01EF
